-e norm_key	source_class	source_detail	recipe_name
customshortcutsmunki	dynamic-scrape	www.houdah.com	CustomShortcuts.munki
customshortcutspkg	dynamic-scrape	www.houdah.com	CustomShortcuts.pkg
cyberduck	sparkle/feed		Cyberduck
cyberduckdownload	sparkle/feed		Cyberduck.download
cyberduckinstall	sparkle/feed		Cyberduck.install
cyberduckjss	sparkle/feed		Cyberduck.jss
cyberduckpkg	sparkle/feed		Cyberduck.pkg
daisydisk	dynamic-scrape		DaisyDisk
daisydiskdownload	dynamic-scrape		DaisyDisk.download
daisydiskinstall	dynamic-scrape		DaisyDisk.install
dangerzone	github	%GITHUB_REPO%	Dangerzone
dangerzonearm64download	github	%GITHUB_REPO%	Dangerzone-arm64.download
dash	sparkle/feed		Dash
dash3download	sparkle/feed		Dash3.download
dash3munki	sparkle/feed		Dash3.munki
dash6	dynamic-scrape	newyork.kapeli.com	Dash6
dash6download	dynamic-scrape	newyork.kapeli.com	Dash6.download
dash6munki	dynamic-scrape	newyork.kapeli.com	Dash6.munki
dashdownload	dynamic-scrape	newyork.kapeli.com	Dash.download
dashpkg	sparkle/feed		Dash.pkg
datawarrior	dynamic-scrape		DataWarrior
datawarriordownload	dynamic-scrape		DataWarrior.download
datawarriorpkg	dynamic-scrape		DataWarrior.pkg
dattodrive	dynamic-scrape	download.dattodrive.com	DattoDrive
dattodrivedownload	dynamic-scrape	download.dattodrive.com	DattoDrive.download
datweatherdoe	github	inderdhir/DatWeatherDoe	DatWeatherDoe
datweatherdoedownload	github	inderdhir/DatWeatherDoe	DatWeatherDoe.download
dayflow	sparkle/feed	dayflow.so	Dayflow
dayflowdownload	sparkle/feed	dayflow.so	Dayflow.download
dbbrowserforsqlite	github	sqlitebrowser/sqlitebrowser	DBBrowserforSQLite
dbbrowserforsqlitedownload	github	sqlitebrowser/sqlitebrowser	DB Browser for SQLite.download
dbbrowserforsqlitemunki	github	sqlitebrowser/sqlitebrowser	DB Browser for SQLite.munki
dbbrowserforsqlitepkg	github	sqlitebrowser/sqlitebrowser	DB Browser for SQLite.pkg
dbeaverce	github	dbeaver/dbeaver	DBeaverCE
dbeavercedownload	github	dbeaver/dbeaver	DBeaverCE.download
dbeavercefilewave	github	dbeaver/dbeaver	DBeaverCE.filewave
dbschema	dynamic-scrape	dbschema.com	DbSchema
dbschemadownload	dynamic-scrape	dbschema.com	DbSchema.download
dbschemamunki	dynamic-scrape	dbschema.com	DbSchema.munki
dbvisualizer	dynamic-scrape	www.dbvis.com	DbVisualizer
dbvisualizerdownload	dynamic-scrape	www.dbvis.com	DbVisualizer.download
dbvisualizerinstall	dynamic-scrape	www.dbvis.com	DbVisualizer.install
dbvisualizerjss	dynamic-scrape	www.dbvis.com	DbVisualizer.jss
dbvisualizerpkg	dynamic-scrape	www.dbvis.com	DbVisualizer.pkg
dcpomatic2	dynamic-scrape	dcpomatic.com	DCP-o-matic2
dcpomatic2download	dynamic-scrape	dcpomatic.com	DCP-o-matic 2.download
dcpomatic2munki	dynamic-scrape	dcpomatic.com	DCP-o-matic 2.munki
dearvrmicro	dynamic-scrape	lm.dearvr.com	dearVRMICRO
dearvrmicrodownload	dynamic-scrape	lm.dearvr.com	dearVR MICRO.download
dearvrmicromunki	dynamic-scrape	lm.dearvr.com	dearVR MICRO.munki
deepdreamer	dynamic-scrape	dl.devmate.com	Deep Dreamer
deepdreamerdownload	dynamic-scrape	dl.devmate.com	DeepDreamer.download
deepdreamerinstall	dynamic-scrape	dl.devmate.com	DeepDreamer.install
deepdreamermunki	dynamic-scrape	dl.devmate.com	DeepDreamer.munki
deepl	sparkle/feed	appdownload.deepl.com	DeepL
deepldownload	sparkle/feed	appdownload.deepl.com	DeepL.download
defaultbrowser	github	kerma/defaultbrowser	defaultbrowser
defaultbrowserdownload	github	kerma/defaultbrowser	defaultbrowser.download
defaultbrowsermunki	github	kerma/defaultbrowser	default-browser.munki
defaultfolderx	sparkle/feed	www.stclairsoft.com	Default Folder X
defaultfolderxdownload	sparkle/feed	www.stclairsoft.com	DefaultFolderX.download
dellcolormanagement	sparkle/feed	dcm-upgrade.portrait.com	DellColorManagement
dellcolormanagementdownload	sparkle/feed	dcm-upgrade.portrait.com	Dell Color Management.download
delldisplayandperipheralmanager	dynamic-scrape		Dell Display and Peripheral Manager
delldisplayandperipheralmanagerdownload	dynamic-scrape		DellDisplayAndPeripheralManager.download
deltawalker	dynamic-scrape	www.deltawalker.com	DeltaWalker
deltawalkerdownload	dynamic-scrape	www.deltawalker.com	DeltaWalker.download
deltawalkerinstall	dynamic-scrape	www.deltawalker.com	DeltaWalker.install
depnotify	dynamic-scrape		DEPNotify
depnotifydownload	dynamic-scrape		DEPNotify.download
descript	dynamic-scrape	web.descript.com	Descript
descriptdownload	dynamic-scrape	web.descript.com	Descript.download
descriptpkg	dynamic-scrape	web.descript.com	Descript.pkg
desktopcommander	github	desktop-commander/dc-app-client-releases	Desktop Commander
desktopcommanderdownload	github	desktop-commander/dc-app-client-releases	DesktopCommander.download
desktopcommanderinstall	github	desktop-commander/dc-app-client-releases	DesktopCommander.install
desktopcurtain	sparkle/feed	manytricks.com	Desktop Curtain
desktopcurtaindownload	sparkle/feed	manytricks.com	DesktopCurtain.download
desktopcurtaininstall	sparkle/feed	manytricks.com	DesktopCurtain.install
desktoppr	github	scriptingosx/desktoppr	Desktoppr
desktopprdownload	github	scriptingosx/desktoppr	Desktoppr.download
desktopprjamf	github	scriptingosx/desktoppr	Desktoppr.jamf
desktopprmunki	github	scriptingosx/desktoppr	Desktoppr.munki
detectx	dynamic-scrape	s3.amazonaws.com	DetectX
detectxdownload	dynamic-scrape	s3.amazonaws.com	DetectX.download
detectxpkg	dynamic-scrape	s3.amazonaws.com	DetectX.pkg
devonagent	sparkle/feed	www.devontechnologies.com	DEVONagent
devonagentprodownload	sparkle/feed	www.devontechnologies.com	DEVONagent Pro.download
devonthink	sparkle/feed	www.devontechnologies.com	DEVONthink
devonthinkdownload	sparkle/feed	www.devontechnologies.com	DEVONthink.download
devonthinkmunki	sparkle/feed	www.devontechnologies.com	DEVONthink.munki
devspace	github	loft-sh/devspace	DevSpace
devspacedownload	github	loft-sh/devspace	DevSpace.download
devspacepkg	github	loft-sh/devspace	DevSpace.pkg
dhs	dynamic-scrape	objective-see.org	DHS
dhsdownload	dynamic-scrape	objective-see.org	DHS.download
dhsmunki	dynamic-scrape	objective-see.org	DHS.munki
dia	dynamic-scrape	releases.diabrowser.com	Dia
diadownload	dynamic-scrape	releases.diabrowser.com	Dia.download
digiexam	dynamic-scrape	www.digiexam.com	DigiExam
digiexamclientdownload	dynamic-scrape	www.digiexam.com	DigiExamClient.download
digiexamclientmunki	dynamic-scrape	www.digiexam.com	DigiExamClient.munki
digikam	dynamic-scrape	download.kde.org	digiKam
digikamdownload	dynamic-scrape	download.kde.org	digiKam.download
digitalcarrot	github	digital-carrot-app/release	Digital Carrot
digitalcarrotdownload	github	digital-carrot-app/release	DigitalCarrot.download
digitalcarrotmunki	github	digital-carrot-app/release	DigitalCarrot.munki
digitalcarrotpkg	github	digital-carrot-app/release	DigitalCarrot.pkg
digitalpigeon4	sparkle/feed	digitalpigeon-desktop-app.s3-accelerate.amazonaws.com	Digital Pigeon 4
digitalpigeon4download	sparkle/feed	digitalpigeon-desktop-app.s3-accelerate.amazonaws.com	Digital Pigeon 4.download
dim	github	com-entonos/Desktop-Icon-Manager	DIM
dimdownload	github	com-entonos/Desktop-Icon-Manager	DIM.download
dingtalk	dynamic-scrape	www.dingtalk.com	DingTalk
dingtalkdownload	dynamic-scrape	www.dingtalk.com	DingTalk.download
dinoxcope	dynamic-scrape	files.dinolite.us	DinoXcope
dinoxcopedownload	dynamic-scrape	files.dinolite.us	DinoXcope.download
discord	dynamic-scrape		Discord
discorddownload	dynamic-scrape		Discord.download
discordmunki	dynamic-scrape		Discord.munki
discorduserinstall	dynamic-scrape		Discord.userinstall
diskarbitrator	github	%GITHUB_REPO%	DiskArbitrator
diskarbitratordownload	github	%GITHUB_REPO%	DiskArbitrator.download
diskarbitratormunki	github	%GITHUB_REPO%	DiskArbitrator.munki
diskdiet	sparkle/feed	www.tunabellysoftware.com	Disk Diet
diskdietdownload	sparkle/feed	www.tunabellysoftware.com	DiskDiet.download
diskdrill	sparkle/feed	www.cleverfiles.com	Disk Drill
diskdrilldownload	sparkle/feed	www.cleverfiles.com	DiskDrill.download
diskdrillinstall	sparkle/feed	www.cleverfiles.com	DiskDrill.install
diskdrillmunki	dynamic-scrape		DiskDrill.munki
diskdrillpkg	dynamic-scrape		DiskDrill.pkg
diskinventoryx	dynamic-scrape	www.derlien.com	Disk Inventory X
diskinventoryxdownload	dynamic-scrape	www.derlien.com	Disk Inventory X.download
diskinventoryxmunki	dynamic-scrape	www.derlien.com	Disk Inventory X.munki
diskinventoryxpkg	dynamic-scrape	www.derlien.com	Disk Inventory X.pkg
disko	github	RobinNaumann/disko	Disko
diskodownload	github	RobinNaumann/disko	Disko.download
displaperture	dynamic-scrape	manytricks.com	Displaperture
displaperturedownload	dynamic-scrape	manytricks.com	Displaperture.download
displaperturemunki	dynamic-scrape	manytricks.com	Displaperture.munki
displaperturepkg	dynamic-scrape	manytricks.com	Displaperture.pkg
displaylink	dynamic-scrape		DisplayLink
displaylinkdownload	dynamic-scrape		DisplayLink.download
displaylinkloginscreenextension	dynamic-scrape	www.displaylink.com	DisplayLink Login Screen Extension
displaylinkloginscreenextensiondownload	dynamic-scrape	www.displaylink.com	DisplayLinkLoginScreenExtension.download
displaylinkloginscreenextensionpkg	dynamic-scrape	www.displaylink.com	DisplayLinkLoginScreenExtension.pkg
displaylinkmanager	dynamic-scrape		DisplayLink Manager
displaylinkmanagerdownload	dynamic-scrape		DisplayLink_Manager.download
displaylinkmunki	dynamic-scrape		DisplayLink.munki
displaymaid	sparkle/feed	funk-isoft.com	Display Maid
displaymaiddownload	sparkle/feed	funk-isoft.com	DisplayMaid.download
displaymaidmunki	sparkle/feed	funk-isoft.com	DisplayMaid.munki
displaymaidpkg	sparkle/feed	funk-isoft.com	DisplayMaid.pkg
divvy	sparkle/feed		Divvy
divvydownload	sparkle/feed		Divvy.download
divvyinstall	sparkle/feed		Divvy.install
divvymunki	sparkle/feed		Divvy.munki
divvypkg	sparkle/feed		Divvy.pkg
dixa	github	%GITHUB_REPO%	Dixa
dixadownload	github	%GITHUB_REPO%	Dixa.download
dixapkg	github	%GITHUB_REPO%	Dixa.pkg
djiassistant2enterpriseseries	dynamic-scrape	www.dji.com	DJIAssistant2EnterpriseSeries
djiassistant2enterpriseseriesdownload	dynamic-scrape	www.dji.com	DJI Assistant 2 (Enterprise Series).download
djiassistant2formatrice	dynamic-scrape	www.dji.com	DJIAssistant2ForMatrice
djiassistant2formatricedownload	dynamic-scrape	www.dji.com	DJI Assistant 2 For Matrice.download
djiassistant2formatricemunki	dynamic-scrape	www.dji.com	DJI Assistant 2 For Matrice.munki
djiassistant2forphantom	dynamic-scrape	www.dji.com	DJIAssistant2ForPhantom
djiassistant2forphantomdownload	dynamic-scrape	www.dji.com	DJI Assistant 2 For Phantom.download
djiassistant2forphantommunki	dynamic-scrape	www.dji.com	DJI Assistant 2 For Phantom.munki
djview	dynamic-scrape		DjView
djviewdownload	dynamic-scrape		DjView.download
djviewinstall	dynamic-scrape		DjView.install
djviewjss	dynamic-scrape		DjView.jss
djviewmunki	dynamic-scrape		DjView.munki
djviewpkg	dynamic-scrape		DJView.pkg
dockanchor	github	bwya77/DockAnchor	DockAnchor
dockanchordownload	github	bwya77/DockAnchor	DockAnchor.download
dockanchorinstall	github	bwya77/DockAnchor	DockAnchor.install
dockanchormunki	github	bwya77/DockAnchor	DockAnchor.munki
docker	sparkle/feed		Docker
dockerdesktopdownload	dynamic-scrape	docs.docker.com	DockerDesktop.download
dockerdesktopinstall	dynamic-scrape	docs.docker.com	DockerDesktop.install
dockerdownload	sparkle/feed		Docker.download
dockerinstall	sparkle/feed		Docker.install
dockerjamf	sparkle/feed		Docker.jamf
dockermunki	sparkle/feed		Docker.munki
dockerpatchjamf	sparkle/feed		Docker-Patch.jamf
dockerpkg	sparkle/feed		Docker.pkg
dockersign	sparkle/feed		Docker.sign
dockeruniversaldownload	sparkle/feed		DockerUniversal.download
dockeruniversaljamf	sparkle/feed		Docker-Universal.jamf
dockeruniversalpkg	sparkle/feed		DockerUniversal.pkg
dockeruploadjamf	sparkle/feed		Docker.upload.jamf
dockify	sparkle/feed	offfwhitedesign.github.io	Dockify
dockifydownload	sparkle/feed	offfwhitedesign.github.io	Dockify.download
dockifyinstall	sparkle/feed	offfwhitedesign.github.io	Dockify.install
dockifymunki	sparkle/feed	offfwhitedesign.github.io	Dockify.munki
dockifypkg	sparkle/feed	offfwhitedesign.github.io	Dockify.pkg
docklib	github	homebysix/docklib	docklib
docklibdownload	github	homebysix/docklib	docklib.download
docklibinstall	github	homebysix/docklib	docklib.install
docklibmunki	github	homebysix/docklib	docklib.munki
docklibpkg	github	homebysix/docklib	docklib.pkg
dolbyatmoscomposeressential	dynamic-scrape	fiedler-audio.com	DolbyAtmosComposerEssential
dolbyatmoscomposeressentialdownload	dynamic-scrape	fiedler-audio.com	Dolby Atmos Composer Essential.download
dolbyatmoscomposeressentialmunki	dynamic-scrape	fiedler-audio.com	Dolby Atmos Composer Essential.munki
donut	github	zhom/donutbrowser	Donut
donutdownload	github	zhom/donutbrowser	Donut.download
donutinstall	github	zhom/donutbrowser	Donut.install
donutmunki	github	zhom/donutbrowser	Donut.munki
donutpkg	github	zhom/donutbrowser	Donut.pkg
dosbox	dynamic-scrape	www.dosbox.com	DOSBox
dosboxdownload	dynamic-scrape	www.dosbox.com	DOSBox.download
dosboxfilewave	dynamic-scrape	www.dosbox.com	DOSBox.filewave
dot	sparkle/feed	www.trydot.app	Dot
dotdownload	sparkle/feed	www.trydot.app	Dot.download
dotinstall	sparkle/feed	www.trydot.app	Dot.install
dotmunki	sparkle/feed	www.trydot.app	Dot.munki
dotnet10sdk	dynamic-scrape	dotnet.microsoft.com	DotNet10SDK
dotnet10sdkdownload	dynamic-scrape	dotnet.microsoft.com	DotNet 10 SDK.download
dotnet10sdkmunki	dynamic-scrape	dotnet.microsoft.com	DotNet 10 SDK.munki
dotnet6	dynamic-scrape	aka.ms	DotNet6
dotnet6download	dynamic-scrape	aka.ms	DotNet 6.download
dotnet6munki	dynamic-scrape	aka.ms	DotNet 6.munki
dotnet7	dynamic-scrape	aka.ms	DotNet7
dotnet7download	dynamic-scrape	aka.ms	DotNet 7.download
dotnet7munki	dynamic-scrape	aka.ms	DotNet 7.munki
dotnet8sdk	dynamic-scrape		DotNet8SDK
dotnet8sdkdownload	dynamic-scrape		DotNet 8 SDK.download
dotnet8sdkmunki	dynamic-scrape		DotNet 8 SDK.munki
dotnet9sdk	dynamic-scrape		DotNet9SDK
dotnet9sdkdownload	dynamic-scrape		DotNet 9 SDK.download
dotnet9sdkmunki	dynamic-scrape		DotNet 9 SDK.munki
dotnetprofiler	dynamic-scrape	www.yourkit.com	DotNETProfiler
dotnetprofilerdownload	dynamic-scrape	www.yourkit.com	DotNETProfiler.download
dotpkg	sparkle/feed	www.trydot.app	Dot.pkg
download	dynamic-scrape		download
dozer	sparkle/feed	raw.githubusercontent.com	Dozer
dozerdownload	sparkle/feed	raw.githubusercontent.com	Dozer.download
dozermunki	sparkle/feed	raw.githubusercontent.com	Dozer.munki
draftsight	dynamic-scrape		DraftSight
draftsightdownload	dynamic-scrape		DraftSight.download
draftsightmunki	dynamic-scrape		DraftSight.munki
dragonframe3	dynamic-scrape		Dragonframe 3
dragonframe3download	dynamic-scrape		Dragonframe3.download
dragonframe3munki	dynamic-scrape		Dragonframe3.munki
dragonframe3pkg	dynamic-scrape		Dragonframe3.pkg
dragonframe4	dynamic-scrape		Dragonframe 4
dragonframe4download	dynamic-scrape		Dragonframe4.download
dragonframe4munki	dynamic-scrape		Dragonframe4.munki
dragonframe4pkg	dynamic-scrape		Dragonframe4.pkg
dragonframelicenseserver	dynamic-scrape	www.dragonframe.com	DragonframeLicenseServer
dragonframelicenseserverdownload	dynamic-scrape	www.dragonframe.com	DragonframeLicenseServer.download
dragonframelicenseservermunki	dynamic-scrape	www.dragonframe.com	DragonframeLicenseServer.munki
draw	dynamic-scrape	growlybird.com	Draw
drawbot	dynamic-scrape		DrawBot
drawbotdownload	dynamic-scrape		DrawBot.download
drawbotpkg	dynamic-scrape		DrawBot.pkg
drawdownload	dynamic-scrape	growlybird.com	Draw.download
drawio	github	jgraph/drawio-desktop	draw.io
drawiodesktop	github	jgraph/drawio-desktop	draw.io Desktop
drawiodownload	github	jgraph/drawio-desktop	draw.io.download
drawiofilewave	github	jgraph/drawio-desktop	draw.io.filewave
drawioinstall	github	jgraph/drawio-desktop	draw.io.install
drawiojamf	github	jgraph/drawio-desktop	draw.io.jamf
drawiomunki	github	jgraph/drawio-desktop	drawio.munki
drawiopatchjamf	github	jgraph/drawio-desktop	draw.io-Patch.jamf
drawiopkg	github	jgraph/drawio-desktop	draw.io.pkg
drawmunki	dynamic-scrape	growlybird.com	Draw.munki
drivegenius5	sparkle/feed	www.prosofteng.com	DriveGenius5
drivegenius5download	sparkle/feed	www.prosofteng.com	DriveGenius5.download
drobodashboard	dynamic-scrape	files.drobo.com	DroboDashboard
drobodashboarddownload	dynamic-scrape	files.drobo.com	DroboDashboard.download
dropbox	dynamic-scrape		Dropbox
dropboxcapture	dynamic-scrape	clientupdates.dropboxstatic.com	Dropbox Capture
dropboxcapturedownload	dynamic-scrape	clientupdates.dropboxstatic.com	DropboxCapture.download
dropboxcapturemunki	dynamic-scrape	clientupdates.dropboxstatic.com	DropboxCapture.munki
dropboxdownload	dynamic-scrape		Dropbox.download
dropboxenterprise	dynamic-scrape	client.dropbox.com	DropboxEnterprise
dropboxenterprisedownload	dynamic-scrape	client.dropbox.com	Dropbox Enterprise.download
dropboxenterprisemunki	dynamic-scrape	client.dropbox.com	Dropbox Enterprise.munki
dropboxfilewave	dynamic-scrape		Dropbox.filewave
dropboxjss	dynamic-scrape		Dropbox.jss
dropclock	github	WrkX/Dropclock	Dropclock
dropclockdownload	github	WrkX/Dropclock	Dropclock.download
dropclockmunki	github	WrkX/Dropclock	Dropclock.munki
dropdmg	dynamic-scrape	c-command.com	DropDMG
dropdmgdownload	dynamic-scrape	c-command.com	DropDMG.download
dropdmginstall	dynamic-scrape	c-command.com	DropDMG.install
dropdmgmunki	dynamic-scrape	c-command.com	DropDMG.munki
droppy	github	iordv/Droppy	Droppy
droppydownload	github	iordv/Droppy	Droppy.download
droppyinstall	github	iordv/Droppy	Droppy.install
droppymunki	github	iordv/Droppy	Droppy.munki
droppypkg	github	iordv/Droppy	Droppy.pkg
dropshare	sparkle/feed	dropshare.app	Dropshare
dropsharedownload	sparkle/feed	dropshare.app	Dropshare.download
dropzone3	sparkle/feed		Dropzone 3
dropzonedownload	sparkle/feed		Dropzone.download
dropzonemunki	sparkle/feed		Dropzone.munki
dssplayer	dynamic-scrape	audiosupport.omsystem.com	DSSPlayer
dssplayerdownload	dynamic-scrape	audiosupport.omsystem.com	DSSPlayer.download
dssplayermunki	dynamic-scrape	audiosupport.omsystem.com	DSSPlayer.munki
dssplayerpkg	dynamic-scrape	audiosupport.omsystem.com	DSSPlayer.pkg
duckdb	github	duckdb/duckdb	DuckDB
duckdbdownload	github	duckdb/duckdb	DuckDB.download
duckdbinstall	github	duckdb/duckdb	DuckDB.install
duckdbmunki	github	duckdb/duckdb	DuckDB.munki
duckdbpkg	github	duckdb/duckdb	DuckDB.pkg
duet	dynamic-scrape	updates.duetdisplay.com	duet
duetdownload	dynamic-scrape	updates.duetdisplay.com	duet.download
duetmunki	dynamic-scrape	updates.duetdisplay.com	duet.munki
duetpkg	dynamic-scrape	updates.duetdisplay.com	duet.pkg
duodesktop	dynamic-scrape	duo.com	Duo Desktop
duodesktopdownload	dynamic-scrape	duo.com	Duo Desktop.download
duodesktoppkg	dynamic-scrape	duo.com	Duo Desktop.pkg
dupeguru	dynamic-scrape	dupeguru.voltaicideas.net	dupeGuru
dupegurudownload	dynamic-scrape	dupeguru.voltaicideas.net	DupeGuru.download
dupegurupkg	dynamic-scrape	dupeguru.voltaicideas.net	DupeGuru.pkg
duplicate	dynamic-scrape		Duplicate
duplicatedownload	dynamic-scrape		Duplicate.download
dvdstyler	dynamic-scrape		DVDStyler
dvdstylerdownload	dynamic-scrape		DVDStyler.download
dwarffortress	dynamic-scrape		Dwarf Fortress
dwarffortressdownload	dynamic-scrape		DwarfFortress.download
dymolabel	dynamic-scrape		DYMO Label
dymolabeldownload	dynamic-scrape		DYMOLabel.download
eagle	dynamic-scrape	eagle.cool	Eagle
eagledownload	dynamic-scrape	eagle.cool	Eagle.download
eaglefiler	dynamic-scrape	c-command.com	EagleFiler
eaglefilerdownload	dynamic-scrape	c-command.com	EagleFiler.download
eaglefilerinstall	dynamic-scrape	c-command.com	EagleFiler.install
eaglefilerpkg	dynamic-scrape	c-command.com	EagleFiler.pkg
eaglemunki	dynamic-scrape	eagle.cool	Eagle.munki
earmaster7	dynamic-scrape	www.earmaster.com	EarMaster7
earmaster7betadownload	dynamic-scrape	www.earmaster.com	EarMaster7Beta .download
earmaster7betamunki	dynamic-scrape	www.earmaster.com	EarMaster7Beta.munki
earmaster7download	dynamic-scrape	www.earmaster.com	EarMaster7.download
earthdatadownload	github	nasa/earthdata-download	EarthdataDownload
earthdatadownloaddownload	github	nasa/earthdata-download	Earthdata Download.download
earthdatadownloadmunki	github	nasa/earthdata-download	Earthdata Download.munki
easybatchphoto	dynamic-scrape	www.yellowmug.com	EasyBatchPhoto
easybatchphotodownload	dynamic-scrape	www.yellowmug.com	EasyBatchPhoto.download
easybatchphotoinstall	dynamic-scrape	www.yellowmug.com	EasyBatchPhoto.install
easybatchphotopkg	dynamic-scrape	www.yellowmug.com	EasyBatchPhoto.pkg
easyfind	dynamic-scrape		EasyFind
easyfinddownload	dynamic-scrape		EasyFind.download
easyfindfilewave	dynamic-scrape		EasyFind.filewave
easymeetingdesktopclient	dynamic-scrape	easymeeting.net	EasymeetingDesktopClient
easymeetingdesktopclientdownload	dynamic-scrape	easymeeting.net	Easymeeting Desktop Client.download
easymeetingdesktopclientmunki	dynamic-scrape	easymeeting.net	Easymeeting Desktop Client.munki
easymeetingdesktopclientpkg	dynamic-scrape	easymeeting.net	Easymeeting Desktop Client.pkg
ebs	dynamic-scrape	www.evercast.us	EBS
ebsdownload	dynamic-scrape	www.evercast.us	EBS.download
ebsinstall	dynamic-scrape	www.evercast.us	EBS.install
ebsmunki	dynamic-scrape	www.evercast.us	EBS.munki
eclipse	dynamic-scrape	www.eclipse.org	Eclipse
eclipsedownload	dynamic-scrape	www.eclipse.org	Eclipse.download
eclipseidejavadev	dynamic-scrape	www.eclipse.org	EclipseIDEJavaDev
eclipseidejavadevdownload	dynamic-scrape	www.eclipse.org	EclipseIDEJavaDev.download
eclipsekepler	dynamic-scrape	download.eclipse.org	EclipseKepler
eclipsekeplerdownload	dynamic-scrape	download.eclipse.org	EclipseKepler.download
eclipsekeplerjss	dynamic-scrape	download.eclipse.org	EclipseKepler.jss
eclipsekeplerpkg	dynamic-scrape	download.eclipse.org	EclipseKepler.pkg
eclipsemunki	dynamic-scrape	www.eclipse.org	Eclipse.munki
eclipsetemurin	dynamic-scrape	api.adoptium.net	EclipseTemurin
eclipsetemurin11	dynamic-scrape	api.adoptium.net	Eclipse Temurin 11
eclipsetemurin11download	dynamic-scrape	api.adoptium.net	EclipseTemurin11.download
eclipsetemurin11pkg	dynamic-scrape	api.adoptium.net	EclipseTemurin11.pkg
eclipsetemurin11signedinstallerdownload	dynamic-scrape	api.adoptium.net	EclipseTemurin11-signed-installer.download
eclipsetemurin11signedinstallerpkg	dynamic-scrape	api.adoptium.net	EclipseTemurin11-signed-installer.pkg
eclipsetemurin17	dynamic-scrape	api.adoptium.net	Eclipse Temurin 17
eclipsetemurin17download	dynamic-scrape	api.adoptium.net	EclipseTemurin17.download
eclipsetemurin8	dynamic-scrape	api.adoptium.net	Eclipse Temurin 8
eclipsetemurin8download	dynamic-scrape	api.adoptium.net	EclipseTemurin8.download
eclipsetemurin8pkg	dynamic-scrape	api.adoptium.net	EclipseTemurin8.pkg
eclipsetemurin8signedinstallerdownload	dynamic-scrape	api.adoptium.net	EclipseTemurin8-signed-installer.download
eclipsetemurin8signedinstallerpkg	dynamic-scrape	api.adoptium.net	EclipseTemurin8-signed-installer.pkg
eclipsetemurindownload	dynamic-scrape	api.adoptium.net	EclipseTemurin.download
eclipsetemurinjdk	dynamic-scrape	aka.ms	EclipseTemurinJDK
eclipsetemurinjdkdownload	dynamic-scrape	aka.ms	Eclipse Temurin JDK.download
eclipsetemurinjdkmunki	dynamic-scrape	aka.ms	Eclipse Temurin JDK.munki
ecosia	dynamic-scrape	ams.ecosia-browser.net	Ecosia
ecosiabrowserdownload	dynamic-scrape	ams.ecosia-browser.net	EcosiaBrowser.download
ecosiabrowsermunki	dynamic-scrape	ams.ecosia-browser.net	EcosiaBrowser.munki
ecosiabrowserpkg	dynamic-scrape	ams.ecosia-browser.net	EcosiaBrowser.pkg
edenmath	dynamic-scrape	www.edenwaith.com	EdenMath
edenmathdownload	dynamic-scrape	www.edenwaith.com	EdenMath.download
edenmathmunki	dynamic-scrape	www.edenwaith.com	EdenMath.munki
edenmathpkg	dynamic-scrape	www.edenwaith.com	EdenMath.pkg
egnyteconnect	sparkle/feed	egnyte-cdn.egnyte.com	EgnyteConnect
egnyteconnectdownload	sparkle/feed	egnyte-cdn.egnyte.com	EgnyteConnect.download
egnyteconnectmunki	sparkle/feed	egnyte-cdn.egnyte.com	Egnyte Connect.munki
egnyteconnectpkg	sparkle/feed	egnyte-cdn.egnyte.com	EgnyteConnect.pkg
egnytedesktopappcore	dynamic-scrape	egnyte-cdn.egnyte.com	EgnyteDesktopAppCore
egnytedesktopappcoredownload	dynamic-scrape	egnyte-cdn.egnyte.com	Egnyte Desktop App Core.download
egnytedesktopsync	dynamic-scrape	helpdesk.egnyte.com	Egnyte Desktop Sync
egnytedesktopsyncnoprefsdownload	dynamic-scrape	helpdesk.egnyte.com	Egnyte Desktop Sync NoPrefs.download
egnytedesktopsyncnoprefsmunki	dynamic-scrape	helpdesk.egnyte.com	Egnyte Desktop Sync NoPrefs.munki
ekahaupro	dynamic-scrape		Ekahau Pro
ekahauprodownload	dynamic-scrape		Ekahau Pro.download
ekahaupromunki	dynamic-scrape		Ekahau Pro.munki
ekahaupropkg	dynamic-scrape		Ekahau Pro.pkg
elan	dynamic-scrape	archive.mpi.nl	ELAN
elandownload	dynamic-scrape	archive.mpi.nl	ELAN.download
elaninstall	dynamic-scrape	archive.mpi.nl	ELAN.install
elanmunki	dynamic-scrape	archive.mpi.nl	ELAN.munki
elanpkg	dynamic-scrape	archive.mpi.nl	ELAN.pkg
elasticbeatdownload	dynamic-scrape	www.elastic.co	elasticbeat.download
elasticbeatpkg	dynamic-scrape	www.elastic.co	elasticbeat.pkg
electricsheep	dynamic-scrape		ElectricSheep
electricsheepdownload	dynamic-scrape		ElectricSheep.download
elementdownload	dynamic-scrape		Element.download
elementriot	dynamic-scrape		Element (Riot)
elevate	dynamic-scrape	www.eventideaudio.com	Elevate
elevate24	github	Jigsaw24/Elevate24	Elevate24
elevate24download	github	Jigsaw24/Elevate24	Elevate24.download
elevatedownload	dynamic-scrape	www.eventideaudio.com	Elevate.download
elevatepkg	dynamic-scrape	www.eventideaudio.com	Elevate.pkg
elgatocamerahub	dynamic-scrape	gc-updates.elgato.com	ElgatoCameraHub
elgatocamerahubdownload	dynamic-scrape	gc-updates.elgato.com	Elgato Camera Hub.download
