-e installomator_label	installer_type	downloadURL	appNewVersion	expectedTeamID	packageID	blockingProcesses
ipswupdater	zip	$(getJSONValue "$ipswupdaterVersions" "[0].url")	$(getJSONValue "$ipswupdaterVersions" "[0].version")	YRW6NUGA63		
jamfcheck	dmg	"$(downloadURLFromGit txhaflaire JamfCheck)"	"$(versionFromGit txhaflaire JamfCheck)"	CLQKFNPCCP		
jamfconnectconfiguration	dmg	"https://files.jamfconnect.com/JamfConnect.dmg"	$(curl -fsIL "${downloadURL}" | grep "x-amz-meta-version" | grep -o "[0-9.].*[0-9.].*[0-9]")	483DWKW443		
jamfconnectlogin	pkgInDmg	"https://files.jamfconnect.com/JamfConnect.dmg"	$(curl -fsIL "${downloadURL}" | grep "x-amz-meta-version" | grep -o "[0-9.].*[0-9.].*[0-9]")	483DWKW443	com.jamf.connect.login	
jamfpppcutility	zip	$(downloadURLFromGit jamf PPPC-Utility)	$(versionFromGit jamf PPPC-Utility)	483DWKW443		
jamfprintermanager	zip	"$(downloadURLFromGit jamf jamf-printer-manager)"	"$(versionFromGit jamf jamf-printer-manager)"	483DWKW443		
jamfreenroller	zip	$(downloadURLFromGit jamf ReEnroller)		PS2F6S478M		
jupyterlab	dmg	"$(downloadURLFromGit jupyterlab jupyterlab-desktop)"	"$(versionFromGit jupyterlab jupyterlab-desktop)"	2YJ64GUAVW		
lgcalibrationstudio	pkgInZip	"https://gscs-b2c.lge.com/downloadFile?fileId=$fileID"	$(curl -sf "$releaseURL" | grep -m 1 "\[Mac\] LG Calibration Studio - version " | sed -E 's/.*\[Mac\] LG Calibration Studio - version ([^<]+)<\/p>.*/\1/')	5SKT5H4CPQ		
lucidlink	pkg	"https://www.lucidlink.com/download/latest/osx/stable"	$(curl -fsIL -H "Referer: https://www.lucidlink.com/download/latest/osx/stable" "$downloadURL" | awk 'BEGIN{IGNORECASE=1}/^location:/{gsub("\r",""); print $2}' | tail -n 1 | sed -E 's|.*/lucid-([0-9]+(\.[0-9]+)+)\.pkg$|\1|')	Y4KMJPU2B4		
lunadisplay	dmg	"https://downloads.astropad.com/luna/mac/latest"	$(curl -sI "${downloadURL}" | grep -o -E 'location:.*$' | grep -o -E '\d+\.\d+\.\d+\.\d+')	8356ZZ8Y5K		
managedappschemabuilder	zip	"$(downloadURLFromGit BIG-RAT Managed-App-Schema-Builder)"	"$(versionFromGit BIG-RAT Managed-App-Schema-Builder)"	PS2F6S478M		
masv	dmg	"https://dl.massive.io/MASV.dmg"	$(curl -fsL 'https://dl.massive.io/latest-mac.yml' | grep 'version:' | awk '{print $NF }')	VHKX7RCAY7		
mestrenova	dmg	"https://mestrelab.com/downloads/mnova/mac/MestReNova-$mestrenovaDownloadVersion.dmg"	$(echo "$mestrenovaDownloadVersion" | cut -d '-' -f1)	DH5EKRR34H		
microsoftcompanyportal	pkg	$(curl -fsL $MAUSource | xmllint --xpath '//array/dict[1]/key[text()="Location"]/following-sibling::string[1]/text()' - | sed 's/-Upgrade/-Installer/' 2>/dev/null)	$(curl -fsL $MAUSource | xmllint --xpath '//array/dict[1]/key[text()="Update Version"]/following-sibling::string[1]/text()' - 2>/dev/null)	UBF8T346G9		
microsoftpowershell	pkg	$(downloadURLFromGit PowerShell PowerShell )	$(versionFromGit PowerShell PowerShell )	UBF8T346G9		
microsoftskypeforbusiness	pkg	"https://go.microsoft.com/fwlink/?linkid=832978"	$(curl -fsIL "$downloadURL" | grep -i location: | sed -E 's/.*\/[a-zA-Z]*-([0-9.]*)\..*/\1/g')	UBF8T346G9		
mist-cli	pkg	$(downloadURLFromGit "ninxsoft" "mist-cli")	$(versionFromGit "ninxsoft" "mist-cli")	7K3HVCLV7Z	com.ninxsoft.pkg.mist-cli	( NONE )
mobiletolocal	zip	"$(downloadURLFromGit BIG-RAT mobile_to_local)"	"$(versionFromGit BIG-RAT mobile_to_local)"	PS2F6S478M		
networksharemounter	pkg	$(curl -sfL "https://gitlab.rrze.fau.de/api/v4/projects/506/releases/release-$appNewVersion/assets/links/" | grep -Eo '(http|https)://[a-zA-Z0-9./?=_%:-]*.pkg' | head -n 1)	$(curl -sfL https://gitlab.rrze.fau.de/api/v4/projects/506/releases | grep -o 'release-[0-9]\+\.[0-9]\+\.[0-9]\+' | grep -o '[0-9]\+\.[0-9]\+\.[0-9]\+' | head -n 1)	C8F68RFW4L	de.fau.rrze.NetworkShareMounter	
nextcloud	pkg	$(downloadURLFromGit nextcloud-releases desktop)	$(versionFromGit nextcloud-releases desktop)	NKUJUXUJ3B		
nodejs	pkg	"https://nodejs.org/dist/latest/node-$(curl -s -L https://nodejs.org/dist/latest/ | sed -nE 's|.*>node-(.*)\.pkg</a>.*|\1|p').pkg"	$(curl -s -L https://nodejs.org/dist/latest/ | sed -nE 's|.*>node-(.*)\.pkg</a>.*|\1|p')	HX7739G8FX		
nvivo14	dmg	"https://download.qsrinternational.com/Software/NVivo14forMac/NVivo.dmg"	$(curl -fsIL "${downloadURL}" | grep -i "^location" | awk '{print $2}' | awk -F'/' '{ print $6 }' | cut -d "." -f1-3)	8F4S7H8S59		( NVivo NVivoHelper "Nvivo 14" )
nvivo15	dmg	"https://download.qsrinternational.com/Software/NVivo15forMac/NVivo15.dmg"	$(curl -fsIL "${downloadURL}" | grep -i "^location" | awk '{print $2}' | awk -F'/' '{ print $6 }' | cut -d "." -f1-3)	8F4S7H8S59		( NVivo NVivoHelper "Nvivo 15" )
