slug,name,appcatalog_url
focusee,Focusee,https://appcatalog.cloud/apps/focusee
folge,Folge,https://appcatalog.cloud/apps/folge
foolcat,Foolcat,https://appcatalog.cloud/apps/foolcat
fotomagico,Fotomagico,https://appcatalog.cloud/apps/fotomagico
foxit-phantompdf,Foxit Phantompdf,https://appcatalog.cloud/apps/foxit-phantompdf
frameio-transfer,Frameio Transfer,https://appcatalog.cloud/apps/frameio-transfer
freeter,Freeter,https://appcatalog.cloud/apps/freeter
frost-writer,Frost Writer,https://appcatalog.cloud/apps/frost-writer
ftprush,Ftprush,https://appcatalog.cloud/apps/ftprush
fuzzlecheck-4,Fuzzlecheck 4,https://appcatalog.cloud/apps/fuzzlecheck-4
geekbench-ml,Geekbench Ml,https://appcatalog.cloud/apps/geekbench-ml
global-secure-access-client,Global Secure Access Client,https://appcatalog.cloud/apps/global-secure-access-client
growly-glucose,Growly Glucose,https://appcatalog.cloud/apps/growly-glucose
haiku-animator,Haiku Animator,https://appcatalog.cloud/apps/haiku-animator
hintview,Hintview,https://appcatalog.cloud/apps/hintview
horse,Horse,https://appcatalog.cloud/apps/horse
httpie,Httpie,https://appcatalog.cloud/apps/httpie
hue,Hue,https://appcatalog.cloud/apps/hue
huggingchat-mac,Huggingchat Mac,https://appcatalog.cloud/apps/huggingchat-mac
hydra,Hydra,https://appcatalog.cloud/apps/hydra
ibm-data-shift,Ibm Data Shift,https://appcatalog.cloud/apps/ibm-data-shift
ibm-spss-statistics,Ibm Spss Statistics,https://appcatalog.cloud/apps/ibm-spss-statistics
iboostup,Iboostup,https://appcatalog.cloud/apps/iboostup
identity,Identity,https://appcatalog.cloud/apps/identity
identity-enterprise,Identity Enterprise,https://appcatalog.cloud/apps/identity-enterprise
impulso,Impulso,https://appcatalog.cloud/apps/impulso
imymac-pdf-compressor,Imymac Pdf Compressor,https://appcatalog.cloud/apps/imymac-pdf-compressor
imymac-video-converter,Imymac Video Converter,https://appcatalog.cloud/apps/imymac-video-converter
insight,Insight,https://appcatalog.cloud/apps/insight
instant-word-counter,Instant Word Counter,https://appcatalog.cloud/apps/instant-word-counter
integrity-plus,Integrity Plus,https://appcatalog.cloud/apps/integrity-plus
integrity-pro,Integrity Pro,https://appcatalog.cloud/apps/integrity-pro
inventorywatch,Inventorywatch,https://appcatalog.cloud/apps/inventorywatch
iperius-remote,Iperius Remote,https://appcatalog.cloud/apps/iperius-remote
iphone-backup-extractor,Iphone Backup Extractor,https://appcatalog.cloud/apps/iphone-backup-extractor
istat-menu,Istat Menu,https://appcatalog.cloud/apps/istat-menu
istatistica-pro,Istatistica Pro,https://appcatalog.cloud/apps/istatistica-pro
jamf-actions,Jamf Actions,https://appcatalog.cloud/apps/jamf-actions
jamf-aftermath,Jamf Aftermath,https://appcatalog.cloud/apps/jamf-aftermath
